hh_id,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income
1,111000,1,0,"Middle"
2,123000,1,1,"Bottom"
3,105400,1,0,"Middle"
4,48100,1,0,"Top"
5,54600,0,0,"Top"
6,108400,1,1,"Top"
7,53200,1,0,"Top"
8,96400,0,1,"Top"
9,39300,1,0,"Top"
10,56400,0,0,"Top"
11,87600,1,0,"Top"
12,49400,1,0,"Middle"
13,56900,1,0,"Top"
14,46500,0,0,"Top"
15,56800,1,0,"Middle"
16,51200,1,0,"Bottom"
17,41900,1,0,"Middle"
18,113000,1,0,"Top"
19,50100,0,0,"Top"
20,90000,1,1,"Middle"
21,52400,1,0,"Top"
22,90200,1,0,"Top"
23,109800,1,0,"Middle"
24,45600,0,0,"Middle"
25,106200,1,0,"Top"
26,53200,0,0,"Top"
27,119600,1,0,"Bottom"
28,45900,1,0,"Middle"
29,100000,1,1,"Middle"
30,111400,1,1,"Top"
31,91000,1,1,"Top"
32,99400,0,0,"Top"
33,92200,1,1,"Top"
34,100200,1,0,"Top"
35,56900,1,0,"Top"
36,40700,1,0,"Top"
37,46800,0,0,"Middle"
38,102000,0,0,"Top"
39,47600,0,0,"Middle"
40,87600,0,1,"Top"
41,49400,1,0,"Bottom"
42,100000,1,0,"Top"
43,85400,0,1,"Top"
44,84600,1,1,"Top"
45,40000,0,0,"Bottom"
46,96400,0,0,"Top"
47,105000,1,1,"Top"
48,109400,1,0,"Bottom"
49,81000,0,1,"Middle"
50,47800,1,0,"Top"
51,97800,0,0,"Top"
52,79800,1,0,"Middle"
53,104400,0,1,"Top"
54,105000,1,1,"Top"
55,107200,1,1,"Top"
56,89400,1,0,"Bottom"
57,50100,1,0,"Top"
58,48100,0,0,"Bottom"
59,48400,1,0,"Top"
60,105600,0,0,"Top"
61,48300,1,0,"Bottom"
62,58600,1,0,"Top"
63,50600,1,0,"Top"
64,41600,1,0,"Bottom"
65,49400,1,0,"Top"
66,96600,1,0,"Top"
67,105800,0,1,"Top"
68,85400,0,1,"Top"
69,98400,1,1,"Top"
70,106800,1,1,"Top"
71,105800,1,0,"Middle"
72,84000,1,1,"Top"
73,49100,1,0,"Top"
74,48800,1,0,"Top"
75,100800,1,0,"Middle"
76,53100,1,0,"Top"
77,91600,0,0,"Top"
78,91800,1,0,"Bottom"
79,97200,0,1,"Top"
80,45600,1,0,"Top"
81,103000,1,1,"Middle"
82,87600,0,0,"Middle"
83,103600,0,0,"Middle"
84,96200,1,0,"Top"
85,103800,0,0,"Top"
86,92400,1,1,"Middle"
87,100000,0,0,"Top"
88,113600,1,0,"Top"
89,89800,1,0,"Top"
90,103600,0,1,"Bottom"
91,58400,0,0,"Top"
92,97400,1,0,"Top"
93,97200,1,0,"Middle"
94,113600,1,1,"Middle"
95,99200,1,1,"Middle"
96,56100,1,0,"Top"
97,54500,0,0,"Bottom"
98,64100,1,0,"Middle"
99,88400,0,0,"Top"
100,105000,0,0,"Top"
101,42200,1,0,"Top"
102,101800,0,0,"Middle"
103,93000,0,1,"Bottom"
104,88200,0,0,"Top"
105,45800,1,0,"Top"
106,109600,1,1,"Middle"
107,56600,1,0,"Top"
108,89400,1,0,"Top"
109,103400,0,1,"Top"
110,52000,0,0,"Middle"
111,101400,0,0,"Top"
112,55000,1,0,"Middle"
113,123200,1,0,"Top"
114,105200,1,0,"Bottom"
115,99600,0,0,"Top"
116,109600,1,0,"Top"
117,104400,0,1,"Top"
118,52400,1,0,"Top"
119,98400,0,0,"Bottom"
120,106000,1,0,"Middle"
121,93800,0,0,"Top"
122,87000,1,0,"Top"
123,101000,1,1,"Bottom"
124,104200,0,0,"Top"
125,80600,1,1,"Top"
126,72000,0,0,"Top"
127,94800,0,0,"Top"
128,87000,1,0,"Top"
129,96400,0,0,"Top"
130,88000,0,0,"Top"
131,55100,1,0,"Top"
132,49800,0,0,"Bottom"
133,89400,1,1,"Top"
134,50300,1,0,"Top"
135,100400,1,1,"Top"
136,81800,0,0,"Top"
137,98800,0,1,"Top"
138,103800,1,1,"Middle"
139,101000,1,1,"Middle"
140,49500,1,0,"Top"
141,88000,1,1,"Top"
142,105400,1,1,"Middle"
143,90800,0,1,"Top"
144,99600,1,1,"Top"
145,89000,1,1,"Middle"
146,52600,1,0,"Top"
147,56900,0,0,"Top"
148,99000,1,1,"Middle"
149,112000,1,0,"Bottom"
150,52600,1,0,"Top"
151,97000,1,1,"Top"
152,50500,1,0,"Middle"
153,54100,0,0,"Top"
154,112600,0,0,"Bottom"
155,58400,0,0,"Middle"
156,114400,0,0,"Middle"
157,52000,0,0,"Top"
158,93000,0,0,"Bottom"
159,48700,1,0,"Bottom"
160,100400,1,1,"Top"
161,52300,1,0,"Middle"
162,45600,1,0,"Top"
163,123600,0,1,"Bottom"
164,47000,1,0,"Top"
165,110400,1,0,"Top"
166,86200,1,1,"Top"
167,40700,1,0,"Top"
168,99800,1,1,"Top"
169,98400,0,1,"Top"
170,84200,1,0,"Top"
171,110400,1,0,"Middle"
172,52800,0,0,"Middle"
173,114400,1,0,"Top"
174,91400,1,0,"Top"
175,100400,0,0,"Bottom"
176,81000,0,0,"Top"
177,95200,1,0,"Top"
178,96600,0,1,"Top"
179,94400,1,0,"Top"
180,102000,1,1,"Top"
181,55800,1,0,"Top"
182,109600,0,0,"Top"
183,102200,1,1,"Middle"
184,114600,1,0,"Top"
185,44500,0,0,"Top"
186,104200,1,0,"Bottom"
187,108800,1,1,"Top"
188,117400,0,0,"Top"
189,89200,0,0,"Middle"
190,60100,1,0,"Bottom"
191,45800,1,0,"Top"
192,51900,1,0,"Middle"
193,104000,0,1,"Top"
194,106600,0,1,"Middle"
195,94600,1,0,"Top"
196,86800,1,0,"Middle"
197,100600,0,1,"Middle"
198,88000,0,0,"Top"
199,110600,1,0,"Bottom"
200,97000,0,1,"Top"
201,42100,1,0,"Top"
202,98800,1,0,"Top"
203,52300,1,0,"Bottom"
204,87400,0,0,"Top"
205,56000,1,0,"Top"
206,101000,1,1,"Top"
207,90200,1,0,"Top"
208,111600,1,0,"Middle"
209,112600,1,0,"Top"
210,96600,1,1,"Middle"
211,53800,1,0,"Top"
212,88000,1,1,"Middle"
213,104600,1,0,"Top"
214,89600,1,0,"Top"
