hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate
1,1,1,"Single","Female","White",28,0,1
1,2,0,"Single","Male","White",27,1,1
2,3,1,"Married","Female","White",34,0,1
2,4,0,"Married","Male","White",33,1,0
2,5,0,"Single","Male","White",6,0,1
3,6,1,"Single","Female","White",28,0,1
3,7,0,"Single","Male","White",29,1,0
4,8,1,"Single","Female","White",30,0,1
4,9,0,"Single","FEMALE","White",3,0,0
5,10,1,"Single","Female","White",30,1,1
5,11,0,"Single","Male","White",5,0,1
5,12,0,"Single","Female","White",7,0,1
6,13,1,"Married","Female","White",31,1,0
6,14,0,"Married","Male","White",30,0,1
7,15,1,"Single","Female","White",33,0,1
7,16,0,"Single","Male","White",6,0,1
8,17,1,"Married","Female","Asian",25,1,0
8,18,0,"Married","Male","White",25,1,0
8,19,0,"Single","F","Asian",6,0,1
9,20,1,"Single","Male","White",31,1,0
10,21,1,"Single","Male","White",32,1,0
11,22,1,"Single","Female","White",30,0,1
11,23,0,"Single","MALE","White",28,0,1
12,24,1,"Single","Male","Asian",27,0,1
12,25,0,"Single","Female","Asian",5,0,1
13,26,1,"Single","Male","White",29,1,1
14,27,1,"Single","Male","White",33,1,1
15,28,1,"Single","Male","Asian",34,1,0
16,29,1,"Single","Male","White",26,0,1
17,30,1,"Single","Female","White",33,1,1
18,31,1,"Single","Female","White",27,0,1
18,32,0,"Single","Male","White",32,0,0
19,33,1,"Single","Male","White",30,1,0
20,34,1,"Married","Female","Asian",29,0,1
20,35,0,"Married","Male","White",32,0,1
20,36,0,"Single","F","Asian",2,0,1
20,37,0,"Single","Male","Asian",3,0,1
21,38,1,"Single","Male","Asian",27,1,0
21,39,0,"Single","Male","Asian",2,0,1
21,40,0,"Single","Female","Asian",5,0,1
22,41,1,"Single","FEMALE","White",28,1,1
22,42,0,"Single","Male","White",31,0,0
22,43,0,"Single","Male","White",5,0,1
23,44,1,"Single","Female","White",30,1,0
23,45,0,"Single","Male","White",30,1,1
24,46,1,"Single","Female","White",33,1,1
25,47,1,"Single","Female","White",32,0,1
25,48,0,"Single","MALE","White",32,1,1
26,49,1,"Single","Male","White",33,0,1
27,50,1,"Single","Female","White",29,0,1
27,51,0,"Single","Male","Asian",27,1,1
28,52,1,"Single","Male","White",31,1,1
29,53,1,"Married","Female","Black",31,1,1
29,54,0,"Married","MALE","Black",33,0,1
29,55,0,"Single","Male","Black",7,0,1
29,56,0,"Single","Female","Black",3,0,1
30,57,1,"Married","FEMALE","Asian",30,0,0
30,58,0,"Married","Male","White",32,1,1
30,59,0,"Single","FEMALE","Asian",6,0,1
31,60,1,"Married","F","Black",34,0,1
31,61,0,"Married","Male","White",30,1,1
32,62,1,"Single","Female","Asian",25,1,1
32,63,0,"Single","Male","White",32,0,0
32,64,0,"Single","Male","Asian",6,0,1
33,65,1,"Married","Female","White",30,1,1
33,66,0,"Married","Male","White",26,1,1
33,67,0,"Single","F","White",6,0,1
33,68,0,"Single","Male","White",6,0,0
34,69,1,"Single","F","White",32,1,1
34,70,0,"Single","Male","White",29,0,1
35,71,1,"Single","Female","Asian",34,1,1
35,72,0,"Single","Male","Asian",2,0,1
36,73,1,"Single","Male","Asian",33,0,0
36,74,0,"Single","Male","Asian",4,0,0
37,75,1,"Single","Male","White",31,1,0
38,76,1,"Single","Female","White",34,1,0
38,77,0,"Single","MALE","White",34,1,1
38,78,0,"Single","Male","White",2,0,0
39,79,1,"Single","Male","Black",32,0,1
40,80,1,"Married","Female","White",31,0,1
40,81,0,"Married","Male","White",34,0,0
41,82,1,"Single","Female","White",32,1,1
42,83,1,"Single","Female","White",32,0,0
42,84,0,"Single","Male","White",33,0,1
43,85,1,"Married","Female","Asian",29,1,1
43,86,0,"Married","Male","White",33,0,1
44,87,1,"Married","Female","White",34,0,1
44,88,0,"Married","Male","White",29,0,0
45,89,1,"Single","Male","White",30,1,1
46,90,1,"Single","FEMALE","White",32,1,1
46,91,0,"Single","Male","White",31,1,1
47,92,1,"Married","Female","Asian",31,1,1
47,93,0,"Married","Male","White",33,0,1
48,94,1,"Single","FEMALE","White",32,1,1
48,95,0,"Single","Male","White",34,1,0
48,96,0,"Single","Female","White",2,0,0
49,97,1,"Married","Female","White",26,0,1
49,98,0,"Married","Male","Asian",32,0,1
49,99,0,"Single","Female","White",2,0,0
50,100,1,"Single","Male","White",34,1,1
50,101,0,"Single","FEMALE","White",3,0,0
51,102,1,"Single","Female","Asian",31,1,1
51,103,0,"Single","Male","White",30,1,1
51,104,0,"Single","Male","Asian",3,0,1
52,105,1,"Single","Female","White",29,0,1
52,106,0,"Single","Male","White",31,1,1
52,107,0,"Single","Male","White",7,0,1
53,108,1,"Married","F","White",26,0,0
53,109,0,"Married","Male","White",34,0,0
53,110,0,"Single","Female","White",7,0,0
53,111,0,"Single","Male","White",2,0,1
54,112,1,"Married","Female","White",31,0,1
54,113,0,"Married","Male","Asian",30,0,1
55,114,1,"Married","Female","Asian",27,0,1
55,115,0,"Married","Male","White",33,0,1
56,116,1,"Single","Female","White",25,1,0
56,117,0,"Single","Male","White",25,0,1
57,118,1,"Single","Male","White",32,1,1
58,119,1,"Single","MALE","Asian",31,1,0
58,120,0,"Single","Female","Asian",3,0,0
59,121,1,"Single","Female","White",31,0,1
59,122,0,"Single","Male","White",5,0,0
59,123,0,"Single","Male","White",2,0,1
60,124,1,"Single","Female","Black",34,0,1
60,125,0,"Single","Male","White",33,1,1
60,126,0,"Single","Female","Black",6,0,1
61,127,1,"Single","Female","White",30,1,1
62,128,1,"Single","Male","Asian",30,0,0
63,129,1,"Single","Female","White",34,1,1
63,130,0,"Single","Male","White",2,0,1
64,131,1,"Single","Male","White",25,1,0
65,132,1,"Single","Male","Asian",26,0,1
66,133,1,"Single","Female","White",34,0,0
66,134,0,"Single","Male","White",33,1,0
66,135,0,"Single","Male","White",6,0,0
67,136,1,"Married","Female","White",25,1,1
67,137,0,"Married","Male","White",33,1,1
68,138,1,"Married","Female","White",31,0,0
68,139,0,"Married","Male","White",34,1,1
68,140,0,"Single","Female","White",6,0,1
69,141,1,"Married","Female","Asian",31,0,1
69,142,0,"Married","Male","White",33,1,1
69,143,0,"Single","Female","Asian",5,0,1
70,144,1,"Married","Female","White",33,0,1
70,145,0,"Married","Male","White",32,0,1
